X (cm),Y (cm),Unweighted Error,a-SiH Thickness,Amp,Br,Eo,Eg,Ep
0,3.5,0.002132383,106.292984,88.163528,2.411314,3.686675,1.640541,1.265434
2.1,2.8,0.002411942,105.986244,88.076164,2.401664,3.685767,1.628937,1.279319
1.4,2.8,0.002581048,106.507202,87.858574,2.402641,3.685886,1.629565,1.277368
0.7,2.8,0.00292057,106.512863,87.847229,2.397895,3.686755,1.623796,1.282536
0,2.8,0.002722159,106.525223,88.597916,2.393029,3.681651,1.61933,1.30441
-0.7,2.8,0.00286798,106.467918,87.979538,2.399121,3.68529,1.623079,1.285389
-1.4,2.8,0.00294061,106.238197,88.0382,2.396961,3.684855,1.618924,1.291419
-2.1,2.8,0.003237571,105.663925,88.482048,2.386895,3.681868,1.606079,1.315995
-2.8,2.1,0.003044188,105.432594,88.364845,2.391984,3.683039,1.61185,1.302803
-2.1,2.1,0.002727415,106.183022,88.314865,2.394638,3.684182,1.620105,1.290406
-1.4,2.1,0.002916797,106.772507,87.784874,2.399168,3.687209,1.625541,1.274786
-0.7,2.1,0.003156935,106.731949,88.236671,2.393946,3.684846,1.617092,1.29345
0,2.1,0.003278642,106.819153,87.967644,2.395156,3.686147,1.616966,1.290312
0.7,2.1,0.002890484,106.926468,87.815285,2.401529,3.687793,1.626865,1.27197
1.4,2.1,0.003087643,106.572021,87.857513,2.396897,3.687243,1.620782,1.282694
2.1,2.1,0.00276459,106.28933,87.887718,2.402071,3.686497,1.62491,1.277623
2.8,2.1,0.002243048,105.891281,88.54628,2.406054,3.680447,1.625855,1.28981
2.8,1.4,0.002438956,106.304489,88.289017,2.407501,3.68308,1.62722,1.279896
2.1,1.4,0.002482592,106.952927,87.969231,2.407811,3.686152,1.632346,1.267486
1.4,1.4,0.002602973,107.066612,88.932449,2.402423,3.680975,1.622802,1.297402
0.7,1.4,0.00314854,107.126785,87.973198,2.400455,3.686415,1.622217,1.280259
0,1.4,0.00312162,107.058556,88.55925,2.396414,3.682696,1.616802,1.300353
-0.7,1.4,0.003301058,106.882263,88.051971,2.39694,3.686348,1.617799,1.286587
-1.4,1.4,0.002307651,107.106308,88.859566,2.407612,3.681648,1.629874,1.285204
-2.1,1.4,0.002888784,106.346741,87.91185,2.401471,3.686278,1.623103,1.276908
-2.8,1.4,0.002415923,105.755348,88.869934,2.401523,3.678927,1.619025,1.300123
-2.8,0.7,0.002655508,105.602829,88.513786,2.400976,3.681957,1.618303,1.291315
-2.1,0.7,0.002680132,106.319786,88.387955,2.400978,3.684192,1.62182,1.28411
-1.4,0.7,0.002240716,107.086769,88.47776,2.410173,3.684618,1.636346,1.267452
-0.7,0.7,0.002743045,107.111404,88.334969,2.40482,3.685442,1.628808,1.273394
0,0.7,0.002867207,107.060463,88.843765,2.400777,3.682808,1.620448,1.292583
0.7,0.7,0.002829544,107.102432,89.230484,2.398074,3.680108,1.61683,1.305879
1.4,0.7,0.002901564,107.140419,88.637894,2.398339,3.682371,1.618387,1.294945
2.1,0.7,0.00274372,106.888893,88.693748,2.399224,3.680153,1.617455,1.29883
2.8,0.7,0.00271827,106.335617,88.385201,2.402685,3.681782,1.618157,1.288999
3.5,0,0.001753302,106.174454,89.136833,2.419096,3.671711,1.628656,1.282763
2.8,0,0.00195587,106.913925,88.847557,2.413979,3.678479,1.631951,1.275991
2.1,0,0.002311092,107.271561,88.668846,2.40677,3.681908,1.626957,1.279637
1.4,0,0.002832937,107.354454,88.444199,2.398485,3.682826,1.620145,1.289743
0.7,0,0.003348265,107.182755,88.054062,2.394532,3.68527,1.616424,1.287693
0,0,0.002743184,107.311142,88.836967,2.400276,3.681321,1.620732,1.295265
-0.7,0,0.002584534,107.072021,88.546822,2.402943,3.681986,1.623302,1.284288
-1.4,0,0.002447259,107.153542,87.715492,2.410315,3.68776,1.636376,1.253188
-2.1,0,0.002482465,106.334122,88.422066,2.405325,3.683532,1.626045,1.276973
-2.8,0,0.002417917,105.539284,88.907112,2.402791,3.679018,1.618234,1.295744
-3.5,0,0.001782411,105.131386,89.061867,2.422461,3.675303,1.635097,1.270747
-2.8,-0.7,0.002272039,105.443398,89.192841,2.40252,3.678654,1.618964,1.295903
-2.1,-0.7,0.002989696,106.062546,88.782013,2.395433,3.68169,1.612662,1.300337
-1.4,-0.7,0.003072045,106.595032,88.732498,2.394654,3.682971,1.614186,1.296951
-0.7,-0.7,0.002676447,107.129967,88.594437,2.402131,3.684259,1.623898,1.281131
0,-0.7,0.003148736,107.204796,88.559944,2.39703,3.683305,1.6163,1.29281
0.7,-0.7,0.00276237,107.545067,88.659096,2.398079,3.682322,1.620221,1.290922
1.4,-0.7,0.002948054,107.399979,88.475288,2.398628,3.682997,1.617494,1.288371
2.1,-0.7,0.002316645,107.371765,89.153862,2.405038,3.677855,1.621769,1.29307
2.8,-0.7,0.001744541,106.799583,89.65802,2.412632,3.671185,1.623491,1.298032
2.8,-1.4,0.001700384,106.552589,89.33007,2.407918,3.670653,1.61983,1.297243
2.1,-1.4,0.002322597,107.685547,89.06955,2.403587,3.677678,1.619416,1.293457
1.4,-1.4,0.003013684,107.754555,88.949753,2.393995,3.679902,1.609811,1.305551
0.7,-1.4,0.002588421,107.766823,89.632637,2.3977,3.676951,1.614974,1.311841
0,-1.4,0.003031048,107.389404,89.443481,2.392016,3.678325,1.609076,1.31598
-0.7,-1.4,0.003065651,107.044373,89.063774,2.391141,3.68042,1.6103,1.307595
-1.4,-1.4,0.003612577,106.586807,88.281075,2.390134,3.684858,1.609175,1.293468
-2.1,-1.4,0.002971084,106.183754,88.532707,2.396899,3.68341,1.615638,1.289567
-2.8,-1.4,0.002657878,105.224098,89.211296,2.397,3.677397,1.611555,1.30644
-2.8,-2.1,0.002283822,105.432411,89.447647,2.401891,3.677469,1.617351,1.299839
-2.1,-2.1,0.003044197,106.027573,89.849579,2.387076,3.674827,1.60091,1.333295
-1.4,-2.1,0.003176375,106.85054,89.092499,2.390652,3.679452,1.607585,1.310127
-0.7,-2.1,0.003330731,107.25061,89.288925,2.388745,3.679031,1.604988,1.317098
0,-2.1,0.003107712,107.864502,88.816483,2.394156,3.682423,1.614352,1.294229
0.7,-2.1,0.003391242,107.879539,89.639854,2.38699,3.676483,1.60175,1.327115
1.4,-2.1,0.003083676,108.191879,89.033104,2.39442,3.679482,1.609528,1.305259
2.1,-2.1,0.00212108,108.469467,89.004623,2.407717,3.678402,1.625001,1.282605
2.8,-2.1,0.001651559,106.969971,90.041328,2.41175,3.667063,1.619433,1.306283
2.1,-2.8,0.002261521,109.10553,89.655014,2.402067,3.675539,1.616454,1.304672
1.4,-2.8,0.002644685,109.00753,89.844154,2.394397,3.674702,1.608667,1.320403
0.7,-2.8,0.002665159,108.901634,89.166328,2.399058,3.678354,1.615858,1.299215
0,-2.8,0.002804366,108.493835,89.356979,2.39561,3.676996,1.610814,1.3106
-0.7,-2.8,0.002660792,107.902023,89.599701,2.393565,3.676185,1.610644,1.313969
-1.4,-2.8,0.002647197,107.224167,89.713554,2.396426,3.674936,1.609025,1.318417
-2.1,-2.8,0.002117983,106.606239,89.55545,2.406678,3.676771,1.622101,1.293562
0,-3.5,0.00213273,109.206375,89.595322,2.406672,3.675743,1.620011,1.295324
