BulkT,Amp,Br,Eo,Eg,Ep
110.324509,105.26149,2.407292,3.532754,1.577203,1.650666
105.640297,103.129745,2.425654,3.545713,1.589716,1.590333
108.054161,104.121727,2.413326,3.540945,1.581749,1.620003
108.381554,103.716957,2.41487,3.546482,1.583166,1.60953
108.321922,103.413528,2.416239,3.548978,1.584465,1.602529
108.239075,103.644058,2.41671,3.547249,1.58401,1.606475
108.119461,103.759453,2.416329,3.545817,1.583735,1.608716
106.953224,103.768089,2.420203,3.543169,1.584332,1.608107
106.341446,103.805069,2.422303,3.540127,1.586161,1.604587
100.307732,101.171669,2.450946,3.554547,1.607869,1.524242
100.517441,100.797974,2.451181,3.563193,1.609268,1.516751
102.462906,101.233665,2.442882,3.561714,1.60355,1.534109
102.27269,101.105247,2.443082,3.561584,1.604609,1.530688
102.193069,100.94194,2.444208,3.564495,1.605105,1.527213
102.204697,101.129021,2.442715,3.562646,1.604574,1.531386
101.617912,100.949249,2.446402,3.562895,1.606436,1.525898
97.58799,100.150375,2.462559,3.564348,1.617665,1.492797
106.530052,103.445,2.424811,3.543846,1.590441,1.599623
110.018715,104.677429,2.410992,3.537621,1.582616,1.637073
102.223122,101.214157,2.444395,3.56129,1.605872,1.534887
100.970673,100.711456,2.44905,3.563864,1.610282,1.517724
100.535027,100.43129,2.450584,3.566464,1.611629,1.508752
100.6959,101.036995,2.445818,3.560401,1.608103,1.525115
100.581047,100.596672,2.449905,3.564841,1.610987,1.51199
100.904213,100.759247,2.448641,3.56365,1.609098,1.517353
101.859612,101.036804,2.444992,3.562809,1.606073,1.527984
105.606522,102.919968,2.42773,3.548252,1.593182,1.583087
106.078209,102.934174,2.42639,3.548874,1.59304,1.584802
101.662224,101.10746,2.445266,3.560981,1.607477,1.528206
100.456512,100.667465,2.450924,3.563546,1.612022,1.512533
99.952271,100.081917,2.453055,3.570755,1.614132,1.499184
99.985764,100.35006,2.452554,3.56641,1.614161,1.50465
100.004425,100.30616,2.452635,3.567603,1.613947,1.504291
100.565506,100.469337,2.451028,3.566789,1.612527,1.51148
102.554054,101.101807,2.444451,3.562869,1.606792,1.532991
110.533035,104.481056,2.412299,3.540642,1.58388,1.63305
110.90802,104.859291,2.408109,3.537156,1.583092,1.643163
102.657249,101.577103,2.442261,3.558024,1.606636,1.544134
100.450737,100.457886,2.452549,3.567058,1.614484,1.509601
99.802734,100.007217,2.453799,3.571114,1.615803,1.497624
100.001122,100.365234,2.452299,3.565489,1.614889,1.504923
99.814774,100.118797,2.452415,3.568777,1.614971,1.499835
100.210007,100.470856,2.451014,3.565871,1.613873,1.508695
101.495041,100.977829,2.445086,3.562096,1.609052,1.525696
106.083595,103.349281,2.423074,3.54428,1.592952,1.594822
105.865982,103.099266,2.427567,3.545622,1.595989,1.586743
101.387222,101.134995,2.446167,3.559483,1.610703,1.526528
100.113235,100.573242,2.451622,3.563177,1.614936,1.509334
99.631088,100.318115,2.451185,3.566613,1.616249,1.502758
99.653152,100.175316,2.452651,3.568154,1.616797,1.500057
99.856552,100.179817,2.453182,3.568334,1.616976,1.501544
100.512299,100.600716,2.451584,3.563624,1.614813,1.512559
102.535141,101.35627,2.443632,3.559013,1.608382,1.538231
110.785294,104.945992,2.40781,3.535211,1.584033,1.645462
110.412598,104.652328,2.408683,3.538562,1.585762,1.637794
102.728775,102.418419,2.436823,3.547943,1.605562,1.563653
100.605812,100.832573,2.448862,3.561158,1.614332,1.519665
100.005905,100.332787,2.451592,3.56684,1.616721,1.506066
99.895226,100.550591,2.45197,3.563173,1.616905,1.508826
99.871254,100.504639,2.449774,3.564529,1.616096,1.508842
100.267334,100.702309,2.449133,3.561392,1.615367,1.51407
101.284378,101.298065,2.445359,3.557355,1.61146,1.5307
105.39296,102.736282,2.427797,3.548177,1.597742,1.578977
105.636742,103.022491,2.425654,3.54526,1.597286,1.586865
101.882843,101.458359,2.442418,3.555285,1.610383,1.537582
101.100754,101.154961,2.444458,3.558176,1.612488,1.528095
100.939308,101.246941,2.444384,3.555821,1.612771,1.529887
100.841217,100.99839,2.445428,3.559916,1.613693,1.524277
100.823715,100.939865,2.445852,3.560855,1.613825,1.523123
101.313171,101.421677,2.444638,3.555963,1.612641,1.535793
103.009987,102.536324,2.436843,3.545709,1.605835,1.567513
110.707726,105.800682,2.403169,3.525276,1.582906,1.665867
113.054955,106.298706,2.394411,3.524395,1.57928,1.682765
106.861862,104.202995,2.417661,3.534925,1.593535,1.617775
105.780777,102.856842,2.424655,3.547904,1.598801,1.584683
105.893028,103.019806,2.421941,3.545961,1.597874,1.588573
106.334984,104.438301,2.412255,3.531186,1.591743,1.622629
106.024574,103.236458,2.42062,3.543852,1.59725,1.592606
106.075661,103.162743,2.420669,3.54396,1.597089,1.592086
106.505775,103.839546,2.416849,3.537851,1.594301,1.607755
109.0448,105.103401,2.40571,3.530392,1.586148,1.643299
